issue_id,issue_name,when,action,what,user,milestone_id,milestone,description,milestone_user,ctime,dtime,closetime,status
22,[Christine] researching and implementing andoid push notifications / server set up(php),2017-02-13T16:34:24Z,renamed,,user2,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
22,[Christine] researching and implementing andoid push notifications / server set up(php),2017-02-22T21:44:11Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
27,[Tam - 6 days] Researching for simulation options,2017-02-09T14:52:51Z,converted_note_to_issue,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
27,[Tam - 6 days] Researching for simulation options,2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
27,[Tam - 6 days] Researching for simulation options,2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
27,[Tam - 6 days] Researching for simulation options,2017-02-12T16:54:04Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
32,Implementing google trends(include server setting),2017-02-09T14:54:11Z,converted_note_to_issue,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
32,Implementing google trends(include server setting),2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
32,Implementing google trends(include server setting),2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
32,Implementing google trends(include server setting),2017-02-23T01:17:05Z,closed,,user2,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
